user_id,n_tweets,n_replies,n_quotes,n_retweets,max_followers,n_mentions,n_hashtags,n_urls,n_out_urls,f_tweets,f_friends,atypique,commentaire
217841376,1,0,0,0,524,1,1,0,0,0.0115233882080067,0.0,0,
853668801006718980,1,0,0,1,132,1,1,0,0,0.0115233882080067,0.0,0,
1700175834,1,0,0,1,855,1,1,0,0,0.0115233882080067,0.0,0,
231776874,2,0,0,2,94,2,5,0,0,0.2431763615284053,0.0,0,
1183006824,1,0,0,1,7623,3,2,0,0,0.0115233882080067,0.0,1,Followers
554446937,1,0,1,1,397,1,0,1,0,0.0115233882080067,0.0,0,
2198363818,2,0,0,2,88,2,4,0,0,0.0278817786407739,0.0139408893203869,0,
1008001523190829056,1,0,0,1,0,1,1,0,0,0.0115233882080067,0.0,0,
3345984059,2,0,0,2,4359,2,8,0,0,54.148773755894325,0.0,1,f tweets
419750036,1,0,1,1,609,1,0,1,0,0.0115233882080067,0.0,0,
1005032133436624896,5,0,2,3,218,6,4,2,0,0.2073194452647639,2.81954445560079,0,
971113541284458496,1,0,1,1,25,1,0,1,0,0.0115233882080067,0.0,0,
879912332180078592,1,0,0,1,434,1,2,0,0,0.0115233882080067,0.0,0,
2231326044,1,0,0,1,455,1,1,0,0,0.0115233882080067,0.0,0,
2153611394,1,0,0,0,93,0,1,0,0,0.0115233882080067,0.0,0,
976879001754009601,1,0,0,1,26,1,1,0,0,0.0115233882080067,0.0,0,
127680123,4,0,0,1,727,1,6,1,1,0.0741000018324312,0.0185250004581078,0,
1006471778363846656,1,0,0,0,0,0,2,1,0,0.0115233882080067,0.0,0,
2714522821,1,0,0,1,1124,1,3,1,1,0.0115233882080067,0.0,0,
28143057,1,0,1,0,540,0,0,1,0,0.0115233882080067,0.0,0,
419372424,1,0,1,0,34,0,0,1,0,0.0115233882080067,0.0,0,
3034695181,1,0,0,1,96,1,0,0,0,0.0115233882080067,0.0,0,
829116685709778944,1,0,0,1,49,1,1,0,0,0.0115233882080067,0.0,0,
582955980,1,0,1,1,622,1,0,1,0,0.0115233882080067,0.0,0,
920740810097876992,3,0,1,2,216,3,3,1,0,0.232400983624252,0.3098679781656693,0,
276210587,1,0,0,0,149,0,1,0,0,0.0115233882080067,0.0,0,
2724426713,5,0,0,3,10736,3,7,0,0,0.0871479411393316,0.0348591764557326,1,Followers
2316645179,2,0,0,0,271,2,3,1,0,1.573904316673046,0.0,0,
366342354,3,0,0,3,184,5,3,0,0,0.1002047377635054,0.0,0,
1852569799,1,0,0,1,19,1,0,0,0,0.0115233882080067,0.0,0,
103686629,2,0,0,0,2272,0,2,2,0,0.0899869597646931,0.0,0,
709463312,2,0,0,0,623,0,4,0,0,0.0278861168479265,0.0418291752718898,0,
2787674506,1,0,0,0,895,0,2,0,0,0.0115233882080067,0.0,0,
3087331659,1,0,0,0,246,0,3,1,0,0.0115233882080067,0.0,0,
247145285,1,0,0,1,187,1,4,0,0,0.0115233882080067,0.0,0,
1730820300,1,0,1,1,122,1,0,1,0,0.0115233882080067,0.0,0,
200022276,5,0,0,1,655,2,6,4,0,0.0688362572559772,0.1376725145119545,0,
880072100391903232,1,0,0,1,109,2,2,0,0,0.0115233882080067,0.0,0,
1007363180245536773,1,0,0,1,0,1,1,0,0,0.0115233882080067,0.0,0,
55176137,1,0,0,0,1108,0,3,0,0,0.0115233882080067,0.0,0,
286388317,1,0,0,0,5458,0,4,0,0,0.0115233882080067,0.0,1,Followers
240474369,1,0,0,1,2115,1,0,0,0,0.0115233882080067,0.0,0,
1693193341,1,0,1,1,208,1,0,1,0,0.0115233882080067,0.0,0,
2330765646,1,0,0,1,53,1,1,1,1,0.0115233882080067,0.0,0,
420586938,6,0,0,0,156,1,7,4,0,2.863549480941885,0.0,0,
528044022,2,0,0,2,21619,2,2,0,0,0.0512734198911743,0.0,1,Followers
842923839810101248,1,0,0,1,1130,1,3,0,0,0.0115233882080067,0.0,0,
3328324059,1,0,1,1,1668,1,0,1,0,0.0115233882080067,0.0,0,
14224011,2,0,0,0,1374,0,1,1,0,0.042887968584563,0.0,0,
1862772295,5,0,0,4,197,5,6,0,0,0.1039075712136312,0.0,0,
3337905753,1,0,0,1,54,1,3,0,0,0.0115233882080067,0.0,0,
535301715,1,0,0,1,15056,6,0,0,0,0.0115233882080067,0.0,1,Followers
123761097,1,0,0,0,230,0,1,0,0,0.0115233882080067,0.0,0,
2202638660,1,0,0,1,2703,1,1,0,0,0.0115233882080067,0.0,0,
131115377,2,0,0,2,380,2,2,0,0,0.0884499532658701,0.0,0,
485945643,1,0,0,1,83,2,2,0,0,0.0115233882080067,0.0,0,
27612662,1,0,0,1,3101,1,4,0,0,0.0115233882080067,0.0,0,
1004908741,1,0,1,1,255,1,0,0,0,0.0115233882080067,0.0,0,
911135258363305984,1,0,0,1,77,1,2,0,0,0.0115233882080067,0.0,0,
894485400,2,0,1,2,264,2,3,1,0,0.0416735970726798,0.0416735970726798,0,
2415770136,1,0,0,1,312,1,1,0,0,0.0115233882080067,0.0,0,
917121381757747200,1,0,0,1,150,1,1,0,0,0.0115233882080067,0.0,0,
1446282888,1,0,0,1,637,1,1,0,0,0.0115233882080067,0.0,0,
753433572,1,0,0,1,543,1,1,0,0,0.0115233882080067,0.0,0,
118988080,1,1,1,0,14,1,0,1,0,0.0115233882080067,0.0,0,
3048680922,2,0,0,2,740,3,2,0,0,0.134292635365764,0.2014389530486461,0,
391590132,2,0,1,1,390,1,1,1,0,1.3281388347795289,0.0,0,
192039536,3,0,0,1,167,2,2,1,0,0.0498690118831621,0.0997380237663243,0,
53375366,2,0,1,0,2447,0,0,2,0,0.0490867826774598,0.0490867826774598,0,
1000705667693506560,2,0,0,1,1,2,3,1,0,399.8889197445154,0.0,1,f tweets
80986907,1,0,0,1,528,1,5,1,1,0.0115233882080067,0.0,0,
3300214125,16,0,0,16,2245,16,35,1,1,18.540597470753493,0.0,1,f tweets
398721058,1,0,0,1,925,2,1,0,0,0.0115233882080067,0.0,0,
2612209941,1,0,0,1,269,1,3,0,0,0.0115233882080067,0.0,0,
161028059,3,0,2,3,1289,3,2,2,0,0.1399620990411468,0.1399620990411468,0,
87521387,1,0,0,1,194,1,2,0,0,0.0115233882080067,0.0,0,
708339562792284160,1,0,0,1,8784,1,3,0,0,0.0115233882080067,0.0,0,
76614123,1,0,0,1,1524,1,1,1,1,0.0115233882080067,0.0,0,
2259207104,1,0,0,1,1653,1,1,0,0,0.0115233882080067,0.0,0,
3265554326,1,0,0,1,307,1,0,0,0,0.0115233882080067,0.0,0,
